"response_component"	"count"
"RPL10"	4
"EEF1B2"	3
"ND3"	3
"RPL13A"	3
"RPL3"	3
"RPS11"	3
"RPS3A"	3
"APOBEC3A"	2
"ATF3"	2
"C1QB"	2
"CDKN2D"	2
"DUSP1"	2
"DYNLL1"	2
"EEF1A1"	2
"GIMAP7"	2
"GNAS"	2
"H1-4"	2
"HLA-DQA2"	2
"IER2"	2
"IFI27"	2
"IFI44L"	2
"IFITM1"	2
"JCHAIN"	2
"MTRNR2L1"	2
"RPL10A"	2
"RPL15"	2
"RPL21"	2
"RPL23"	2
"RPL23A"	2
"RPL27A"	2
"RPL31"	2
"RPL34"	2
"RPL37A"	2
"RPL38"	2
"RPL4"	2
"RPL5"	2
"RPL6"	2
"RPL7"	2
"RPL9"	2
"RPLP1"	2
"RPS14"	2
"RPS2"	2
"RPS20"	2
"RPS27"	2
"RPS6"	2
"SP100"	2
"TMEM176A"	2
"TMEM176B"	2
"TOMM7"	2
"TPT1"	2
"TUBA1B"	2
"XAF1"	2
"ZFP36"	2
"ACTB"	1
"ACTG1"	1
"ACTN1"	1
"ADAM10"	1
"ADM"	1
"AFF4"	1
"ALDH1A1"	1
"AMD1"	1
"ANAPC5"	1
"ANKRD9"	1
"ANPEP"	1
"ANXA4"	1
"AP2S1"	1
"AQP10"	1
"ARF5"	1
"ATG2A"	1
"ATP6"	1
"ATP8"	1
"BCL2A1"	1
"BCLAF1"	1
"BLOC1S1"	1
"BRI3"	1
"C19orf33"	1
"CA2"	1
"CALD1"	1
"CALM3"	1
"CAVIN2"	1
"CCDC85B"	1
"CCDC92"	1
"CCL5"	1
"CCNL1"	1
"CD300E"	1
"CD48"	1
"CD63"	1
"CD68"	1
"CD7"	1
"CD9"	1
"CDKN1A"	1
"CENPT"	1
"CERS2"	1
"CFD"	1
"CLDN5"	1
"CLK1"	1
"CNRIP1"	1
"COX3"	1
"CPVL"	1
"CREBRF"	1
"CSRNP1"	1
"CSTB"	1
"CTDSPL"	1
"CTNNB1"	1
"CTSD"	1
"CTSH"	1
"CXCL16"	1
"CXCL5"	1
"CYB5R3"	1
"CYP27A1"	1
"CYP4F22"	1
"CYTB"	1
"DAPP1"	1
"DDX3Y"	1
"DDX58"	1
"DDX60"	1
"DENND10"	1
"DOK2"	1
"EID1"	1
"EIF2AK2"	1
"EIF3L"	1
"EIF4G2"	1
"ELL2"	1
"EMC3"	1
"EP300"	1
"EPSTI1"	1
"FCER1G"	1
"FGL2"	1
"FHL1"	1
"FMNL1"	1
"FOS"	1
"FOSB"	1
"FOXO3"	1
"FTH1"	1
"FUS"	1
"G0S2"	1
"GAPDH"	1
"GIMAP1"	1
"GLUL"	1
"GNAZ"	1
"GNG11"	1
"GNLY"	1
"GP9"	1
"GRAP2"	1
"GSN"	1
"H1-10"	1
"H1-3"	1
"HEMGN"	1
"HERC5"	1
"HES4"	1
"HESX1"	1
"HGD"	1
"HLA-DPA1"	1
"HLA-DPB1"	1
"HLA-DRA"	1
"HLA-DRB5"	1
"HLX"	1
"ID2"	1
"IER5"	1
"IFI30"	1
"IFI6"	1
"IFIH1"	1
"IFIT1"	1
"IFIT2"	1
"IFIT3"	1
"IFITM3"	1
"IFNGR2"	1
"ILK"	1
"INAFM2"	1
"IRF7"	1
"ISG15"	1
"ITGB5"	1
"JUNB"	1
"JUND"	1
"KLF10"	1
"KLF4"	1
"KLF6"	1
"LENG8"	1
"LGALS2"	1
"LGALSL"	1
"LILRA1"	1
"LILRB1"	1
"LILRB2"	1
"LIMS1"	1
"LSM6"	1
"LST1"	1
"LTA4H"	1
"LY6E"	1
"LY6G6F"	1
"MACF1"	1
"MALAT1"	1
"MAP1LC3B"	1
"MAP2K2"	1
"MAP3K7CL"	1
"MAP3K8"	1
"MAZ"	1
"MDM2"	1
"MFSD1"	1
"MGAT4B"	1
"MGST1"	1
"MIDN"	1
"MIR22HG"	1
"MLH3"	1
"MNDA"	1
"MPST"	1
"MT2A"	1
"MTPN"	1
"MTRNR2L8"	1
"MX2"	1
"MYL12A"	1
"MYL6"	1
"MYO9B"	1
"NAMPT"	1
"NCK2"	1
"NCOA4"	1
"ND1"	1
"ND2"	1
"NDUFA4"	1
"NEAT1"	1
"NENF"	1
"NFKBIA"	1
"NFKBIZ"	1
"NKG7"	1
"NR4A2"	1
"OAS1"	1
"OAS3"	1
"OASL"	1
"ODC1"	1
"P2RY13"	1
"PABPC1"	1
"PARP9"	1
"PARVB"	1
"PDLIM1"	1
"PDZK1IP1"	1
"PELATON"	1
"PF4"	1
"PIK3AP1"	1
"PIM3"	1
"PLEK"	1
"PLEKHO1"	1
"PLSCR1"	1
"PML"	1
"POLR2J3"	1
"PPBP"	1
"PPDPF"	1
"PPP1R15A"	1
"PRDX5"	1
"PRKAR2B"	1
"PTCRA"	1
"PYCR2"	1
"RAB4A"	1
"RAB8A"	1
"RDH11"	1
"RGS1"	1
"RHOB"	1
"RHOC"	1
"RNF11"	1
"RNF144B"	1
"RNF213"	1
"RPA1"	1
"RPL12"	1
"RPL13"	1
"RPL18A"	1
"RPL19"	1
"RPL24"	1
"RPL26"	1
"RPL27"	1
"RPL29"	1
"RPL35"	1
"RPL36A"	1
"RPL37"	1
"RPLP0"	1
"RPS18"	1
"RPS26"	1
"RPS27A"	1
"RPS27L"	1
"RPS29"	1
"RPS3"	1
"RPS4X"	1
"RPS4Y1"	1
"RPS5"	1
"RPS9"	1
"RSAD2"	1
"RSRC2"	1
"S100A12"	1
"S100A9"	1
"SCGB3A1"	1
"SCN1B"	1
"SEC11A"	1
"SERP1"	1
"SERPING1"	1
"SERTAD1"	1
"SH3BGRL"	1
"SIGLEC1"	1
"SLC43A2"	1
"SNHG15"	1
"SNHG8"	1
"SPINT2"	1
"SRGN"	1
"STAT1"	1
"SYNE2"	1
"TACC1"	1
"TACC3"	1
"TAGLN2"	1
"TAMALIN"	1
"TAP1"	1
"TCIRG1"	1
"TIMP1"	1
"TMC6"	1
"TMEM158"	1
"TMEM91"	1
"TMSB10"	1
"TMSB4X"	1
"TNF"	1
"TNNC2"	1
"TNNT1"	1
"TPM1"	1
"TPM3"	1
"TRA2B"	1
"TSPAN33"	1
"TST"	1
"TUBA1C"	1
"TUBA4A"	1
"UBC"	1
"UBE2E3"	1
"UBXN11"	1
"ULK1"	1
"UQCRH"	1
"USF2"	1
"USP18"	1
"UTRN"	1
"VIM-AS1"	1
"YBX1"	1
"ZBTB7A"	1
"ZCCHC17"	1
